geoid,CRS1112,CRS1213,CRS1314,CRS1415,CRS1516,CRS1617,CRS1718,CRS1819,CRS1920,CRS2021,CRS2122,MSP1112,MSP1213,MSP1314,MSP1415,MSP1516,MSP1617,MSP1718,MSP1819,MSP1920,MSP2021,MSP2122,DRR1112,DRR1213,DRR1314,DRR1415,DRR1516,DRR1617,DRR1718,DRR1819,DRR1920,DRR2021,DRR2122,MSP1112C,MSP1213C,MSP1314C,MSP1415C,MSP1516C,MSP1617C,MSP1718C,MSP1819C,MSP1920C,MSP2021C,MSP2122C,DRR1112C,DRR1213C,DRR1314C,DRR1415C,DRR1516C,DRR1617C,DRR1718C,DRR1819C,DRR1920C,DRR2021C,DRR2122C,PdMSP1121,PdMSP1822,dDRR1118,dDRR1121,dDRR1822,PdMSP1121C,dDRR1121C,dDRR1118WPPNC,dDRR1121WPPNC
421010167011,10,25,32,30,41,48,50,50,46,38,30,10839.68,10000,10000,9950,7600,9100,10000,17000,25833.333333333336,31500,55000,-1.969940,-2.044139,-2.067225,-2.175416,-2.327627,-2.512910,-2.977232,-3.123663,-3.218031,-3.754741,-3.356629,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,190.59898447186632,223.52941176470588,-1.007292,-1.784801,-0.232966,150% or Greater Increase,Less than -1.5,Not at Risk,Not at Risk
421010167012,13,24,23,20,21,29,33,35,37,27,22,17000,12925,11900,9900,6900,13924,18000,25000,35000,55000,65000,-1.924140,-2.044739,-2.083225,-2.220616,-2.371827,-2.481910,-2.905232,-3.081963,-3.197331,-3.563841,-3.435629,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,223.52941176470588,160,-0.981092,-1.639701,-0.353666,150% or Greater Increase,Less than -1.5,Not at Risk,Not at Risk
421010167013,36,17,18,46,88,106,97,77,56,54,35,19125,15749.44,15000,10487.5,10687.5,15000,22750,30000,35000,52000,91000,-1.565840,-1.735939,-1.788425,-2.038416,-2.140027,-2.227110,-2.480832,-2.549863,-2.672031,-2.836741,-1.859429,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,171.8954248366013,203.33333333333334,-0.914992,-1.270901,0.690434,150% or Greater Increase,-1.5 to -1.0,Not at Risk,Not at Risk
421010167021,8,13,12,15,29,29,23,30,25,19,20,16701.79,14000,14250,16500,16500,18000,22500,24750,31000,64100,78500,-1.627140,-1.777739,-1.797625,-1.831316,-1.941127,-2.117810,-2.466532,-2.680863,-2.758031,-2.436541,-2.121129,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,283.7911984284319,217.17171717171718,-0.839392,-0.809401,0.559734,150% or Greater Increase,-1.0 to -0.5,Not at Risk,Not at Risk
421010167022,12,14,16,22,27,32,46,49,34,32,25,8475,9125,9450,12500,10300,9621,15500,21000,28000,36500,52000,-2.052440,-2.098839,-2.115825,-2.175616,-2.316227,-2.540210,-2.934132,-3.129063,-3.281331,-3.797941,-3.578529,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,330.67846607669617,147.61904761904762,-0.881692,-1.745501,-0.449466,150% or Greater Increase,Less than -1.5,Not at Risk,Not at Risk
421010167023,14,16,14,19,28,31,37,32,28,38,28,14450,14000,20000,13500,11400,13000,18000,20600,30000,61000,70000,-1.266140,-1.358639,-1.022225,-1.532616,-1.774327,-1.907010,-2.104732,-2.243563,-1.987831,-0.927441,-0.643329,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,322.1453287197232,239.80582524271844,-0.838592,0.338699,1.600234,150% or Greater Increase,0.0 to 0.5,Not at Risk,At Risk
421010167024,22,15,15,21,29,31,32,28,15,18,15,52500,30000,27000,18950,13500,30000,51450,53950,107000,144000,143000,0.528260,-0.705939,-0.904725,-1.416916,-1.802127,-1.229410,-0.710732,-0.906663,1.208069,2.160459,1.725171,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","$100,000 - $125,000","$125,000 - $150,000","$125,000 - $150,000",0.5 - 1.0,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,1.0 - 1.5,2.0 - 2.5,1.5 - 2.0,174.28571428571428,165.06024096385542,-1.238992,1.632199,2.631834,150% or Greater Increase,1.5 or Above,Not at Risk,At Risk
421010168001,24,34,40,55,60,56,58,51,44,37,29,20625,20125,17500,15000,15000,16000,18550,30000,44300,65000,67000,-1.609940,-1.684739,-1.785925,-1.961316,-2.069927,-2.264110,-2.683632,-2.672063,-2.581031,-2.723741,-2.733829,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,215.15151515151516,123.33333333333333,-1.073692,-1.113801,-0.061766,150% or Greater Increase,-1.5 to -1.0,Not at Risk,Not at Risk
421010168002,27,28,32,46,53,56,71,79,57,39,36,15000,14001,12900,9750,9000,13050,18000,25000,31000,40000,62000,-1.788940,-1.874439,-1.929125,-2.117816,-2.244327,-2.359010,-2.721432,-2.831163,-2.948931,-3.381241,-2.918129,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,166.66666666666666,148,-0.932492,-1.592301,-0.086966,150% or Greater Increase,Less than -1.5,Not at Risk,Not at Risk
421010168003,8,11,20,23,31,33,35,40,32,22,19,17801.92,14500,13250,13000,11100,11100,15000,20250,25000,38700,67500,-1.713040,-1.860139,-1.919125,-2.032816,-2.189627,-2.406810,-2.793832,-2.944163,-3.088031,-3.408541,-2.795629,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,117.39228128201904,233.33333333333334,-1.080792,-1.695501,0.148534,100% - 150% Increase,Less than -1.5,Not at Risk,Not at Risk
421010169011,15,21,24,31,43,47,50,48,30,30,33,16000,15000,14250,9500,9500,10000,15300,20000,22000,35700,44000,-1.683940,-1.775339,-1.826325,-2.079016,-2.186627,-2.389210,-2.718532,-2.862863,-3.065131,-3.328641,-3.130829,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,123.125,120,-1.034592,-1.644701,-0.267966,100% - 150% Increase,Less than -1.5,Not at Risk,Not at Risk
421010169012,18,17,14,19,34,39,37,29,23,32,27,16000,17000,15250,12500,11950,15000,16000,25000,30000,40487.5,45000,-1.645940,-1.672839,-1.760425,-1.958316,-2.084927,-2.208010,-2.663232,-2.666463,-2.779731,-3.114341,-3.019129,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,153.046875,80,-1.017292,-1.468401,-0.352666,150% or Greater Increase,-1.5 to -1.0,Not at Risk,Not at Risk
421010169013,23,32,35,40,52,64,69,60,55,57,45,16000,11670,9900,10000,9996.585,9750,16200,23500,30000,45000,55000,-1.472240,-1.726339,-1.832325,-1.935116,-2.044127,-2.275610,-2.495032,-2.481663,-2.492431,-2.557741,-2.263229,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,181.25,134.04255319148936,-1.022792,-1.085501,0.218434,150% or Greater Increase,-1.5 to -1.0,Not at Risk,Not at Risk
421010169021,19,20,23,25,41,73,71,44,37,40,36,16000,10650.5,8250,8500,9000,10600,15700,20250,33500,45000,61250,-1.509540,-1.796039,-1.922725,-2.019616,-2.107327,-2.263110,-2.549332,-2.655963,-2.423131,-2.648741,-2.152629,"Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000","Below $100,000",Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,Below Area Average,181.25,202.46913580246914,-1.039792,-1.139201,0.503334,150% or Greater Increase,-1.5 to -1.0,Not at Risk,Not at Risk
