GEOID,NAME,variable,estimate,moe,totpop,totnhisp_wh,totnhisp_bk,totnhisp_as,medhhinc,medhhinc_wh,medhhinc_bk,tenure,ten_ownocc,ten_renter,w_ten_renter,b_tenure,b_ten_ownocc,b_ten_renter,moe_totpop,moe_totnhisp_wh,moe_totnhisp_bk,moe_B03002_006,moe_medhhinc,moe_medhhinc_wh,moe_medhhinc_bk,moe_tenure,moe_ten_ownocc,moe_ten_renter,moe_w_ten_renter,moe_b_tenure,moe_b_ten_ownocc,moe_b_ten_renter,pct_black,moe_pct_black,pct_white_renter,moe_white_renter,pct_bnh_renter,pct_bnh_renter2,pct_renter,moe_bnh_renter,pct_non_white,pct_asian,DRR1516,DRR1516C,DRR2122,DRR2122C
"421010132004","Block Group 4, Census Tract 132, Philadelphia County, Pennsylvania",B03002_001,"1041","371","1041","241","727","5","35568",,,"313","0","313","59","254","0","254","371","260","291","11","19636",,,"90","11","90","71","80","11","80","69.84","12.73","18.85","22.03","81.15000000000001","81.15000000000001","100","10.43","76.84999999999999","0.48","4.850273",3.0 or Above,NULL,Insufficient Data
"421010201012","Block Group 2, Census Tract 201.01, Philadelphia County, Pennsylvania",B03002_001,"223","150","223","0","175","35",,,,"132","69","63","13","96","69","27","150","11","149","41",,,,"89","95","59","22","88","95","46","78.48","40.96","20.63","29.09","42.86","20.45","47.73","61","100","15.7","-2.141427",Below Area Average,"-3.352929",Below Area Average
"421010039014","Block Group 4, Census Tract 39.01, Philadelphia County, Pennsylvania",B03002_001,"1086","431","1086","763","127","131","50952",,,"655","234","421","279","110","15","95","431","374","121","148","24002",,,"238","134","226","192","115","24","114","11.69","10.13","66.27","28.54","22.57","14.5","64.27","24.22","29.74","12.06","2.139373",2.0 - 2.5,"1.814471",1.5 - 2.0
"421010125024","Block Group 4, Census Tract 125.02, Philadelphia County, Pennsylvania",B03002_001,"632","195","632","264","196","86",,,,"587","52","535","205","196","0","196","195","149","146","91",,,,"176","37","180","136","146","11","146","31.01","21.03","38.32","21.91","36.64","33.39","91.14","24.35","58.23","13.61","0.637373",0.5 - 1.0,"-1.403929",Below Area Average
"421010253003","Block Group 3, Census Tract 253, Philadelphia County, Pennsylvania",B03002_001,"479","255","479","0","479","0","56518",,,"231","195","36","0","231","195","36","255","11","255","11","50290",,,"103","92","54","11","103","92","54","100","75.29000000000001","0","30.56","100","15.58","15.58","212.13","100","0","-0.440427",Below Area Average,"2.808171",2.5 - 3.0
"421010085001","Block Group 1, Census Tract 85, Philadelphia County, Pennsylvania",B03002_001,"266","164","266","19","239","0","42674",,,"197","98","99","0","178","79","99","164","31","163","11","40563",,,"127","70","103","11","129","75","103","89.84999999999999","26.2","0","11.11","100","50.25","50.25","147.14","92.86","0","0.091573",0.0 - 0.5,"-0.864129",Below Area Average
"421010015001","Block Group 1, Census Tract 15, Philadelphia County, Pennsylvania",B03002_001,"806","194","806","625","27","112","66290",,,"508","218","290","169","27","0","27","194","150","29","133","20806",,,"147","65","141","64","29","11","29","3.35","3.51","58.28","35.91","9.31","5.31","57.09","8.92","22.46","13.9","1.728373",1.5 - 2.0,"-0.342329",Below Area Average
"421010188013","Block Group 3, Census Tract 188.01, Philadelphia County, Pennsylvania",B03002_001,"624","457","624","111","118","0","24055",,,"199","64","135","0","63","0","63","457","163","132","11","7463",,,"139","77","125","11","101","11","101","18.91","15.99","0","8.15","46.67","31.66","67.84","61.08","82.20999999999999","0","0.295573",0.0 - 0.5,"4.210671",3.0 or Above
"421010119005","Block Group 5, Census Tract 119, Philadelphia County, Pennsylvania",B03002_001,"499","298","499","0","499","0",,,,"216","129","87","0","216","129","87","298","11","298","11",,,,"114","94","78","11","114","94","78","100","84.45999999999999","0","12.64","100","40.28","40.28","126.79","100","0","-1.311627",Below Area Average,"-1.887929",Below Area Average
"421010316002","Block Group 2, Census Tract 316, Philadelphia County, Pennsylvania",B03002_001,"186","131","186","186","0","0",,,,"107","71","36","36","0","0","0","131","131","11","11",,,,"78","57","56","56","11","11","11","0","5.91","100","219.99","0","0","33.64","30.56","0","0","0.314373",0.0 - 0.5,"-0.114629",Below Area Average
"421010160023","Block Group 3, Census Tract 160.02, Philadelphia County, Pennsylvania",B03002_001,"630","344","630","518","0","0","74696",,,"378","295","83","49","0","0","0","344","310","11","11","11731",,,"141","140","72","59","11","11","11","0","1.75","59.04","49.3","0","0","21.96","13.25","17.78","0","0.595973",0.5 - 1.0,"0.903971",0.5 - 1.0
"421010081024","Block Group 4, Census Tract 81.02, Philadelphia County, Pennsylvania",B03002_001,"2640","855","2640","76","1837","29","47955",,,"1061","699","362","0","788","426","362","855","118","539","49","9294",,,"377","384","181","11","222","244","181","69.58","30.41","0","3.04","100","34.12","34.12","70.70999999999999","97.12","1.1","-1.732227",Below Area Average,"-2.131629",Below Area Average
"421010067004","Block Group 4, Census Tract 67, Philadelphia County, Pennsylvania",B03002_001,"1536","663","1536","0","1388","83","39634",,,"599","327","272","0","501","262","239","663","11","639","133","8718",,,"214","194","174","11","194","144","165","90.36","14.47","0","4.04","87.87","39.9","45.41","22.81","100","5.4","-1.709827",Below Area Average,"-2.197729",Below Area Average
"421010300001","Block Group 1, Census Tract 300, Philadelphia County, Pennsylvania",B03002_001,"3100","1277","3100","615","1097","24","39453",,,"854","365","489","158","325","98","227","1277","433","737","42","28234",,,"268","196","235","143","216","140","167","35.39","18.78","32.31","24.78","46.42","26.58","57.26","25.86","80.16","0.77","-1.583827",Below Area Average,"-1.795529",Below Area Average
"421010263013","Block Group 3, Census Tract 263.01, Philadelphia County, Pennsylvania",B03002_001,"1527","740","1527","26","1501","0","93225",,,"502","455","47","8","489","450","39","740","31","739","11","50513",,,"160","150","49","13","159","149","47","98.3","8.539999999999999","17.02","21.22","82.98","7.77","9.359999999999999","50.16","98.3","0","-0.771927",Below Area Average,"-1.484129",Below Area Average
"421010180021","Block Group 1, Census Tract 180.02, Philadelphia County, Pennsylvania",B03002_001,"974","378","974","863","0","38",,,,"501","381","120","101","0","0","0","378","328","11","36",,,,"163","167","80","74","11","11","11","0","1.13","84.17","25.58","0","0","23.95","9.17","11.4","3.9","-0.736227",Below Area Average,"-1.493729",Below Area Average
"421010320002","Block Group 2, Census Tract 320, Philadelphia County, Pennsylvania",B03002_001,"1467","734","1467","917","0","0","53822",,,"403","174","229","229","0","0","0","734","632","11","11","13223",,,"151","122","139","139","11","11","11","0","0.75","100","85.84","0","0","56.82","4.8","37.49","0","-0.897027",Below Area Average,"-1.652629",Below Area Average
"421010132001","Block Group 1, Census Tract 132, Philadelphia County, Pennsylvania",B03002_001,"773","206","773","68","578","0",,,,"504","109","395","68","421","94","327","206","81","160","11",,,,"117","66","145","81","106","63","130","74.77","5.6","17.22","19.51","82.78","64.88","78.37","12.64","91.2","0",NULL,Insufficient Data,NULL,Insufficient Data
"421010122012","Block Group 2, Census Tract 122.01, Philadelphia County, Pennsylvania",B03002_001,"726","261","726","257","279","0","28622",,,"538","0","538","261","214","0","214","261","188","221","11","11828",,,"151","11","151","93","135","11","135","38.43","27.13","48.51","10.65","39.78","39.78","100","22.47","64.59999999999999","0",NULL,Insufficient Data,NULL,Insufficient Data
